BUILD_NO,NAME,COST,REWARD
142,FVAS BUILDING,159.0794776877411,0.0
147,BIOSCIENCES 4,125.4782636993832,0.102040816326531
147,BIOSCIENCES 4,117.50723747417945,0.102040816326531
147,BIOSCIENCES 4,145.2974020242581,0.102040816326531
141,CONSERVATORIUM OF MUSIC,183.5540778961377,0.0
194,BIOSCIENCES 5,174.11646722029926,0.0
144,KENNETH MYER BUILDING,210.90954418181474,1.416666666666667
184,OLD MICROBIOLOGY BUILDING,284.53607377491596,0.068181818181818
183,HOWARD FLOREY INSTITUTE,333.5328361221787,0.0
181,MEDICAL BUILDING,289.9861374354546,0.0
182,BROWNLESS BIOMEDICAL LIBRARY,265.2864625786428,0.272727272727273
177,BAILLIEU LIBRARY,155.40032707386456,0.454545454545455
140,GRAINGER MUSEUM,192.2198354446883,0.0
122,BIOSCIENCES 2,49.73570109379644,0.017241379310345
139,BABEL BUILDING,49.51762071041554,0.094339622641509
121,BOTANY POTTING SHED,101.46857778652938,0.0
101,BEAUREPAIRE CENTRE,58.12446982970791,0.0
112,UNIVERSITY HOUSE,14.95162164319416,0.0
191,JOHN MEDLEY BUILDING,284.8051087776575,0.0
191,JOHN MEDLEY BUILDING,284.20905638156125,0.0
187,GATEKEEPER'S LODGE,360.22209350369496,0.0
149,OLD ARTS BUILDING,56.93150807517762,0.166666666666667
143,BIOSCIENCES 3,8.410993454065526,0.0
128,OLD PHYSICS BUILDING,7.2033219644600734,1.0
150,OLD QUADRANGLE BUILDING,32.56626157593119,0.0
152,RAYMOND PRIESTLEY BUILDING,26.028982445386877,0.0
152,RAYMOND PRIESTLEY BUILDING,60.47098184686171,0.0
150,OLD QUADRANGLE BUILDING,75.9894737249872,0.0
150,OLD QUADRANGLE BUILDING,71.3016055145005,0.0
193,ELECTRICAL & ELECTRONIC ENGINEERING BUILDING,194.68230116459483,0.069767441860465
113,BALDWIN SPENCER BUILDING,31.33969334977028,0.375
173,OLD ENGINEERING SCHOOL,286.1810600551771,2.0
166,OLD METALLURGY BUILDING,230.48401963393988,0.1
163,WALTER BOAS BUILDING,165.78903661639447,0.229166666666667
161,BUILDING 161,178.09025361686233,0.0
175,INFRASTRUCTURE ENGINEERING (BLOCK B),353.6627101773201,0.02
153,CHEMISTRY BUILDING (WEST WING),83.8477236851288,0.022727272727273
155,OLD GEOLOGY BUILDING (NORTH WING),174.6752673262008,0.733333333333333
115,REDMOND BARRY BUILDING,111.48375882833713,0.263157894736842
115,REDMOND BARRY BUILDING,108.24419831228751,0.263157894736842
165,CHEMICAL ENGINEERING 1,199.70609513423491,0.010526315789474
192,DAVID CARO BUILDING,226.05137244935887,0.046511627906977
133,GLYN DAVIS BUILDING,109.45912426807242,0.221153846153846
160,PETER HALL BUILDING,235.82004936833252,0.085106382978723
199,757 SWANSTON ST (STOP 1 & STUDENT SERVICES),426.46737174060485,0.123287671232877
198,1888 BUILDING,367.12450122453026,0.0
103,NONA LEE SPORTS CENTRE,133.4890838214942,0.0
168,DOUG MCDONELL BUILDING,276.3258910783501,0.052083333333333
189,FRANK TATE BUILDING,342.8252428815073,0.0
158,SIDNEY MYER ASIA CENTRE,341.73342533036356,0.074074074074074
171,EASTERN RESOURCE CENTRE (ERC LIBRARY),313.2126702915143,0.0
162,ALICE HOY BUILDING,239.99947001235438,0.056603773584906
171,EASTERN RESOURCE CENTRE (ERC LIBRARY),298.3499507712348,0.0
192,DAVID CARO BUILDING,229.80314627852997,0.046511627906977
192,DAVID CARO BUILDING,263.5089729080588,0.046511627906977
136,IAN POTTER MUSEUM OF ART,292.6906653438299,0.1
134,ELISABETH MURDOCH BUILDING,223.23289035044834,0.290322580645161
103,NONA LEE SPORTS CENTRE,65.031601082189,0.0
498,ERNIE CROPLEY SPORTS PAVILION,405.96284252941393,0.0
503,MAINTENANCE GARAGE,423.04143268968534,0.0
234,GRAND STAND (MU SPORT),324.4175396487374,0.0
186,BUILDING 186,329.5579881035547,0.0
148A,ARTS WEST BUILDING (NORTH WING),101.2585341221736,0.0
125,BUILDING 125,156.2439954500622,0.0
151,WILSON HALL,109.81763877999005,0.0
154,CHEMISTRY BUILDING (EAST WING),159.5687312837965,0.015873015873016
174,INFRASTRUCTURE ENGINEERING (BLOCK C),357.49682642389587,0.011111111111111
176,INFRASTRUCTURE ENGINEERING (BLOCK D),364.5688004241756,0.102189781021898
170,MECHANICAL ENGINEERING BUILDING,357.5175277867841,0.022222222222222
169,ENGINEERING WORKSHOPS,305.9966511145622,0.0
120,SYSTEM GARDEN TOWER,121.69706601776653,0.0
123,BIOSCIENCES 1,76.8241132791501,0.166666666666667
156,OLD GEOLOGY BUILDING (SOUTH WING),192.05665725658463,0.3
148B,ARTS WEST BUILDING (WEST WING),143.79307287170445,0.0
203,SECURITY OFFICE,432.0474559139432,0.333333333333333
348,723 SWANSTON ST (MELBOURNE DENTAL CLINIC LTD),533.7974784321484,0.0
384,UNIVERSITY BUSINESS SERVICES BUILDING,544.1266755879118,0.272727272727273
368,205 GRATTAN ST (OFFICE OF ASSOCIATE PROVOST),437.65115255607435,0.142857142857143
257,187 GRATTAN ST,472.8503796023738,0.217391304347826
353,159 BARRY ST,451.6305199085408,1.0
105,FBE BUILDING,555.5356037253156,0.075098814229249
206,214 BERKELEY ST (MCM PRACTICE ROOMS),498.79467777989447,0.0
106,LAW BUILDING,719.5271629494854,0.049382716049383
281,204 LYGON ST (LEVELS 4 & 5),911.4833002627156,0.666666666666667
278,100 LEICESTER ST (MGSE),900.0634104577628,0.147169811320755
263,KWONG LEE DOW BUILDING (MGSE),924.9441496301255,0.19047619047619
379,207-221 BOUVERIE ST (MSPGH & GEOGRAPHY),552.685609466628,0.103174603174603
326,95-109 BARRY ST (FBE),634.4759500100589,0.0
222,"766 ELIZABETH ST (LEVELS G, 3, 4)",526.38473893839,0.0
250,233 BOUVERIE ST (FBE),513.8560461228242,0.0
243,715 SWANSTON ST (MUP & TC),573.4131026065013,0.0
204,208-210 BERKELEY ST (MCM PRACTICE ROOMS),518.8330169319162,0.0
207,202-206 BERKELEY ST (MDHS),530.8703404934089,0.5
242,GRATTAN INSTITUTE (8-14 MALVINA PLACE),463.7933950652019,0.0
220,780 ELIZABETH ST,508.96051014890156,0.352941176470588
107,UNIVERSITY SQUARE CARPARK,424.78802642865156,0.0
224,169 BERKELEY ST (MU SPORT),652.5439875915105,0.0
352,157 BARRY ST,459.88517142465207,0.0
251,155 BARRY ST,468.15924810849515,0.0
221,45 BARRY ST (LEVEL 3),836.2545962022051,0.164179104477612
385,UNIVERSITY HEALTH SERVICES BUILDING,765.1936091713661,2.0
266,11 BARRY ST (BUSINESS SERVICES),885.4540057999458,0.072972972972973
274,201 GRATTAN ST (MELBOURNE SOCIAL EQUITY INSTITUTE),444.60350244609356,0.181818181818182
246,550 SWANSTON ST (AUDIOLOGY CLINIC),951.0925005933617,0.1
283,11-15 ARGYLE PLACE SOUTH (CO2CRC),1025.276625143295,0.0
249,183 BOUVERIE ST (LINCOLN SQUARE GYM),664.2254301334237,0.0
104,ALAN GILBERT BUILDING,435.0598537479839,0.104430379746835
252,156-162 PELHAM ST (STUDENT SERVICES),659.8079783907775,0.0
253,164-170 PELHAM ST (STUDENT SERVICES),657.8607823111272,0.0
254,172 BOUVERIE ST (MSE),501.1588938092325,0.111111111111111
269,170 BOUVERIE ST (ATLANTIC FELLOWS PROGRAM),510.2426031620162,1.0
245,32 LINCOLN SQUARE NORTH,583.9959217247534,0.125
261,203 BOUVERIE ST (BIOMEDICAL ENGINEERING),613.4139803800614,0.25
363,153 BARRY ST (AUSTRALIA-INDIA INSTITUTE),476.4686847867021,0.0
388,147-151 BARRY ST (AUSTRALIA-INDIA INSTITUTE),484.3383446713054,0.0
337,131-137 BARRY ST (FBE),528.4839782950615,0.0
260,200 BERKELEY ST (MSHS),548.7405457827019,0.0
110,THE SPOT,617.1377301053033,0.090566037735849
394,139 BARRY ST (STATISTICAL CONSULTING CENTRE),520.4919026326462,1.0
390,141 BARRY ST (POCHE CENTRE),511.8815918988254,1.0
225,221 BERKELEY ST (CYP),501.69842406933026,0.0
401,NANCY MILLIS BUILDING,619.1998271341018,0.0
405,ELIZABETH BLACKBURN SCHOOL OF SCIENCES,613.4574734128319,0.0
404,BIO21 BUSINESS INCUBATOR BUILDING,641.590611471294,0.0
402,GATE KEEPER'S HOUSE,756.8751639228567,0.0
102,DAVID PENINGTON BUILDING,681.6622081522746,0.040697674418605
400,VETERINARY PRECLINICAL SCIENCES BUILDING,759.2290755885732,0.069767441860465
381,"333 EXHIBITION ST (MSPGH, MSE, STUDIO 4, MC)",1657.5602850285645,0.206185567010309
387,UNIVERSITY CAMPUS SERVICES BUILDING,846.3141888099051,0.44
232,"535 ELIZABETH ST (LEVELS 3, 4, 5)",1190.9108516916656,0.421875
256,247-249 BOUVERIE ST,473.6020126326578,0.0
403,BUILDING 403,665.5776483513494,0.0
200,MCCOY BUILDING,370.63402862128464,0.078125
201,THOMAS CHERRY BUILDING,370.5918573335093,0.318181818181818
344,PETER MCPHEE CENTRE,401.50082094510583,0.0
244,800 SWANSTON ST (EYECARE CLINIC),379.8564185487006,0.0
333,EASTERN PRECINCT UNDERGROUND CARPARK,440.86691120024085,0.0
262,228 QUEENSBERRY ST (CHILDCARE),933.6151214710628,0.0
